laptop_ID;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight (Kg);Price_euros
1;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37;133969
2;Apple;Macbook Air;Ultrabook;133;1440x900;Intel Core i5 1.8GHz;8;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34;89894
3;HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;No OS;1.86;57500
4;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16;512GB SSD;AMD Radeon Pro 455;macOS;1.83;253745
5;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37;180360
6;Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;500GB HDD;AMD Radeon R5;Windows 10;2.1;40000
7;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04;213997
8;Apple;Macbook Air;Ultrabook;133;1440x900;Intel Core i5 1.8GHz;8;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34;115870
9;Asus;ZenBook UX430UN;Ultrabook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3;149500
10;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6;77000
11;HP;250 G6;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;No OS;1.86;39390
12;HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;No OS;1.86;34499
13;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16;256GB SSD;AMD Radeon Pro 555;macOS;1.83;243997
14;Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2;49890
15;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8;256GB SSD;Intel HD Graphics 615;macOS;0.92;126240
16;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37;151855
17;Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2;74500
18;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16;512GB SSD;AMD Radeon Pro 560;macOS;1.83;285800
19;Lenovo;IdeaPad 320-15IKB;Notebook;156;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 940MX;No OS;2.2;49900
