laptop_ID;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram(GB);Memory;Gpu;OpSys;Weight;Price_euros
1;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;133969
2;Apple;Macbook Air;Ultrabook;133;1440x900;Intel Core i5 1.8GHz;8;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;89894
3;HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;No OS;1.86kg;57500
4;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16;512GB SSD;AMD Radeon Pro 455;macOS;1.83kg;253745
5;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37kg;180360
6;Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;500GB HDD;AMD Radeon R5;Windows 10;2.1kg;40000
7;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04kg;213997
8;Apple;Macbook Air;Ultrabook;133;1440x900;Intel Core i5 1.8GHz;8;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34kg;115870
9;Asus;ZenBook UX430UN;Ultrabook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3kg;149500
10;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;77000
11;HP;250 G6;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;500GB HDD;Intel HD Graphics 620;No OS;1.86kg;39390
12;HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;34499
13;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16;256GB SSD;AMD Radeon Pro 555;macOS;1.83kg;243997
14;Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;49890
15;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8;256GB SSD;Intel HD Graphics 615;macOS;0.92kg;126240
16;Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37kg;151855
17;Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2kg;74500
18;Apple;MacBook Pro;Ultrabook;154;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16;512GB SSD;AMD Radeon Pro 560;macOS;1.83kg;285800
19;Lenovo;IdeaPad 320-15IKB;Notebook;156;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8;1TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;49900
20;Dell;XPS 13;Ultrabook;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD;Intel UHD Graphics 620;Windows 10;1.22kg;97900
21;Asus;Vivobook E200HA;Netbook;116;1366x768;Intel Atom x5-Z8350 1.44GHz;2;32GB Flash Storage;Intel HD Graphics 400;Windows 10;0.98kg;19190
22;Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;99900
23;HP;255 G6;Notebook;156;1366x768;AMD E-Series E2-9000e 1.5GHz;4;500GB HDD;AMD Radeon R2;No OS;1.86kg;25800
