Entity;Year;Maize Production (tonnes);Rice  Production ( tonnes);Yams  Production (tonnes);Wheat Production (tonnes);Tomatoes Production (tonnes);Tea  Production ( tonnes );Sweet potatoes  Production (tonnes);Sunflower seed  Production (tonnes);Sugar cane Production (tonnes);Soybeans  Production (tonnes);Rye  Production (tonnes);Potatoes  Production (tonnes);Oranges  Production (tonnes);Peas, dry Production ( tonnes);Palm oil  Production (tonnes);Grapes  Production (tonnes);Coffee, green Production ( tonnes);Cocoa beans Production (tonnes);Meat, chicken  Production (tonnes);Bananas  Production ( tonnes);Avocados Production (tonnes);Apples Production (tonnes)
Argentina;1961;4850000;1328340;819474;18395106;10288796;470723;59146880;3546707;214434610;44689;26010;24593102;26346848;486840;108000;8054408;24153;2260;2348;20740288;420;10982647
Argentina;1962;5220000;1367968;750953;18518044;10570861;519751;60818240;3537545;236301460;50149;17026;25065975;27362894;517344;110000;8816380;25200;2235;2058;22202476;430;11803218
Argentina;1963;4360000;1189866;883931;19459728;1100000;527858;58846040;3825750;230040350;25907;21139;2600000;28585036;389416;118000;8376755;25450;2342;1796;24095636;440;11907789
Argentina;1964;5350000;1222910;834549;19776942;1150000;531215;55782296;3232649;212316420;34700;22450;2884000;28672846;318068;129000;8610953;26740;2250;156;25691660;450;12075865
Argentina;1965;5140000;1453187;922108;17644276;11463731;551440;54616890;3426368;230879400;80105;33475;29547978;29337552;472571;142000;9065311;24378;2747;336;26425204;460;11916997
Argentina;1966;7040000;0;1009910;141483;220000;578458;1485;0;265841310;59600;28411;322427;2424249;456311;160000;11142870;14071;3020;36241;25162720;460;15746752
Argentina;1967;8510000;0;1046115;217900;199000;631378;1753;0;268311820;29750;23805;414000;2338819;558453;170000;11610783;15179;3520;43474;28799178;470;18034016
Argentina;1968;6560000;0;1177541;152900;195000;659273;1714;0;279547940;86100;20000;417200;2685799;240407;190000;11442738;13153;3640;53928;31049370;470;20783594
Argentina;1969;6860000;0;1124859;153800;203000;647906;1672;0;303343900;91800;20000;427700;2919039;529919;210000;12322739;19216;3490;76194;34275070;470;23782004
Argentina;1970;9360000;0;1185100;201400;180361;652523;1832;0;322128000;31949;20000;423163;3138708;454193;240000;12526958;20323;3580;118194;33024060;470;26819288
Argentina;1971;9930000;0;1250465;183700;141240;39592;1439;0;299825820;37439;20000;359800;3324418;315700;250000;12555089;22015;3591;109450;34170990;470;27501652
Argentina;1972;5860000;0;1285858;244300;145000;43831;1829;0;266855420;29403;20000;440000;3647799;298000;270000;12892224;22608;3616;117040;33996570;470;29322362
Argentina;1973;9700000;0;1346070;214380;154839;47922;1496;0;317106140;31335;20000;414123;4172192;357300;310000;13007748;22532;3545;128260;34927460;470;30727160
Argentina;1974;9900000;0;1407680;177762;143667;47457;1456;0;377143230;28903;20000;290260;3997844;456000;340000;14022381;26931;3710;135850;38543580;470;30165054
Argentina;1975;7700000;0;1583710;241679;158277;48265;1352;0;362067520;15136;20000;363834;4165800;512000;365000;14345118;27696;3765;176660;42424440;470;30125162
Argentina;1976;5855000;0;1647010;284670;170008;58359;1465;0;360628160;17323;20000;374263;4622257;178286;400000;15497396;24086;3850;201300;45418690;470;28972810
Argentina;1977;8300000;0;1742000;216698;225573;57477;2801;0;355583600;40219;20000;507518;4764947;487428;415000;16331284;24513;3860;194150;50625540;470;31588564
Argentina;1978;9700000;0;1700982;291556;229478;56105;3114;0;348628700;9176;20000;576427;5018553;289362;313376;17010476;24700;4000;196240;54291150;390;33466410
Argentina;1979;8700000;0;2151452;258361;234948;59927;2902;0;372939840;10392;20000;564211;5209375;585000;362732;17995670;24546;4000;270060;56317000;440;35052748
Argentina;1980;6400000;0;2010699;146544;319285;66812;2220;0;383462700;17658;20000;539477;4825137;140000;4005599;18575452;24976;4200;266530;60172690;470;36506532
Argentina;1981;12900000;0;2257254;254233;321472;68649;2858;0;406375600;36770;20000;583934;5152550;268000;576763;19219334;25272;4300;253500;60070024;490;39270096
Argentina;1982;9600000;0;2083785;225734;293784;71320;2896;0;433541950;92284;35000;648562;4950592;238141;1000;18437050;27012;4320;248000;59121268;510;41770300
Argentina;1983;9000000;0;1577008;198080;278582;74823;2539;0;463335100;125258;2967251;593551;5099137;356000;1000;20038816;27305;4325;255000;60432140;530;44005320
Argentina;1984;9500000;0;1682190;183464;251916;80826;2812;0;497139740;104946;2940721;481956;5316037;394675;1000;19742954;28270;4201;280000;60467772;550;45356440
Argentina;1985;11900000;0;2529718;224082;275470;86314;3814;0;455128600;31121;2989816;557322;5588337;342500;1000;20848858;2732702;4268;280650;61606750;580;49474380
Argentina;1986;12100000;0;2373799;243130;265174;91949;3900;0;461112800;26763;40000;647201;5754958;319680;1000;23517926;275964;4358;277500;59516180;580;51805296
Argentina;1987;9250000;0;2624011;311558;275665;106355;4000;0;519944540;33477;307674;660511;6220345;342100;1000;24924548;2813686;4474;309000;61897180;600;53031170
Argentina;1988;9200000;0;2734861;338158;298831;111230;3405;0;540510000;50457;2952468;696147;6549765;342100;1000;25597656;2945513;4699;320400;62822812;62408;53948616
Argentina;1989;4900000;0;2810745;362746;320183;117600;4403;0;541993600;50449;3035921;607719;6833217;290400;1340;26789844;20496;4745;311000;62904504;64914;51815384
Argentina;1990;5400000;0;29587532;350369;298140;129850;4622;0;543733570;32843;3002044;606314;6906190;204500;1670;26009116;20954;4510;319500;66073056;67124;54380896
Argentina;1991;7684800;0;32206545;176428;234228;136500;4279;0;580157950;33874;30000;547420;7533621;415186;1740;27031314;21427;444975;330000;68041170;700;54803148
Argentina;1992;10700500;198778130;26504985;187453;138124;140400;4682;175690;552486100;35329;2964685;415050;8153487;317209;1780;27578050;21181;457977;386250;123863;69746;53166104
Argentina;1993;10901000;207411000;30412448;112621;158784;145500;4538;141710;551781400;39465;2920175;404057;7809229;159556;1600;29136808;2212099;476268;344569;123863;700;56499604
Argentina;1994;10360000;227561300;32444795;1319512;1836569;151200;5755;170027;584152770;44824;2890898;437226;8755570;210500;1690;29467602;24841;732504;301668;122745;71105;59477428
Argentina;1995;11404041;242167410;29449435;97000;2002487;152400;6089;248824;595849700;60573;2878248;46433366;9269458;399280;1360;25943512;23401;5971;321713;135226;72514;61266504
Argentina;1996;10518290;232172850;3365500;45752064;7594848;146000;6620;245813;536689000;64960;472092;23276046;9399466;1896;1620;4866396;2345198;6065;373549;127719;73806;2003392
Argentina;1997;15536820;240229330;31502478;51629692;7682720;156000;5931;286301;513125630;5290203;467295;23812344;9163011;1560;1620;5122633;2228704;6143;448259;119241;72475;2180504
Argentina;1998;19360656;253587230;3203166;51493144;7424088;122500;7564;320904;565866400;54095;322482;22872212;9619746;2390;1700;4260628;2190303;5518;663135;124479;72932;2339492
Argentina;1999;13504100;263978540;85000;52827710;7205064;131000;8359;330693;680042050;71333;387747;24829658;10240294;2296;2200;4632673;1650527;584599;706384;130688;73071;2388880
Argentina;2000;16780650;270809280;88000;61464070;7471907;135700;8011;440392;703678300;94544;315523;28188572;10849462;2090;1750;5264379;1042013;5835;773735;125481;72826;2509588
Argentina;2001;15359397;290101280;93000;59423012;7528883;40;6623;601048;606753660;109378;363184;30172576;11438325;3330;1800;5102223;2294047;5875;749452;131069;0;2727376
Argentina;2002;14712079;292171650;98000;64810900;7791467;40;11000;675190;608530500;104143;377150;29970402;11692985;3367;1800;5657074;1202868;588399;782391;132585;0;3225432
Argentina;2003;15044529;281748480;100000;71229190;8050679;40;18000;764759;704969300;82780;413298;31210168;10688190;2708;1800;5849067;1507500;155901;889597;127834;0;3469792
Argentina;2004;14950825;307598940;105000;73956200;8570201;45;22000;872461;741590600;11813203;439896;33067488;11079786;2217;1800;5892649;1057700;140363;940390;104600;0;3586124
Argentina;2005;20482572;302816350;112000;76692820;8402583;50;27000;793299;738839740;1361952;362521;34500668;11206852;2168;1800;6051147;1283500;143495;957790;105797;0;3521245
Argentina;2006;14445538;324808060;115000;85663310;9103258;50;30000;846531;747220100;15259862;448406;35928370;11720112;2030;1800;6086196;754800;153685;950652;99887;4447;3854825
Argentina;2007;21755364;315327330;120000;94715280;8989237;50;33000;856108;728781250;193416;402210;37698850;12366657;3004;1800;5943594;1551462;160823;699440;103233;6345;4099521
Argentina;2008;22016926;337703840;124000;88000230;9320888;100;37000;825916;721499700;186490;399561;40900760;12372013;2004;1850;5855620;1495705;172900;738212;115062;6119;4740984
Argentina;2009;13121380;353101020;128000;93732830;9785487;200;40000;922026;694144500;217780;414527;39885800;14793007;1977;1930;6149249;872897;194692;866000;97808;1118;4736159
Argentina;2010;22663096;341465600;133000;104582680;10707680;300;42000;1036417;796769800;204860;347099;40619024;16131885;2000;1401;6178812;1615309;149338;1010000;113132;73;5161038
Argentina;2011;23799830;360104900;140000;118427010;11275173;400;44293;1812723;809959100;237830;410409;41197052;16731750;2000;1931;6159342;1272298;211162;1159000;125123;1500;5591115
Argentina;2012;21196636;372523780;144000;107997740;11603283;600;49131;2170832;732699900;21;351344;44983976;17778372;5500;1958;6345082;375985;197061;1244000;124341;1610;6246869
Argentina;2013;32119212;383409900;150000;123854530;13187115;975;38407;2253585;770305860;12;409525;47944052;19292634;8800;2012;6874115;975385;218701;1400000;129582;1650;6581103
Argentina;2014;33087164;414839200;154000;138778770;13451534;1200;42460;2492944;9730296;4;277974;47729656;20124120;12600;1960;6799426;1267661;221469;1501000;140481;1760;7758705
Argentina;2015;33817744;427797340;160000;129043000;14576913;1012;4980372;3040606;12940301;300;382801;47227710;21885610;16000;1755;7011707;1332772;195916;1598000;146423;1570;7410957
Argentina;2016;39792856;429945180;165000;138902190;15208058;1400;5687664;3046629;12312569;250;320215;47207640;21229358;19600;1890;7586966;1061195;242400;1779000;144774;1800;8430476
Argentina;2017;49475896;429490530;175000;150063420;15888548;1306;6253492;3213846;15312357;320;347834;49417532;21228962;23000;1960;7740386;2032210;281887;1903000;132751;1830;8509439
Argentina;2018;43462324;421334180;178000;168549630;16732406;1700;6786907;3335355;14382227;100;347604;51451428;23911560;27600;2030;7586998;957931;231796;1921000;157720;1860;10129633
Argentina;2019;56860704;444019040;184000;176424510;17313734;1456;75287;3036899;16952688;120;380722;54630940;24705720;32500;1960;7721814;1671588;249755;1934000;160137;1920;9353044
Argentina;2020;58395812;469268200;184000;176779310;18918956;1457;8138491;3191541;17025232;80;338700;54780204;25412674;38500;1890;8029207;1420281;284490;2093000;195762;1950;10367384
Argentina;2021;60525804;477693380;200000;188681200;18967824;1653;7484699;3347013;18708304;319;283601;52048230;25836080;44413;1760;7774352;1910646;336326;2055000;180290;2040;10454135
Bolivia;1961;258800;21000;176600;8200;61171;714;112145;170000;24611;0;120160;3711744;6461254;5694;14165;1575000;303873;139;14109;160000;6000;17950081
Bolivia;1962;264800;28000;199400;8300;63683;827;125445;279000;24611;0;157560;3767769;6463523;6260;15923;1899943;306207;105;1456075;160000;6000;17810149
Bolivia;1963;270500;35000;230400;8300;61531;989;149329;339700;28160;0;172360;3853464;245911;8587;17132;1800548;310809;177;15027;190000;6000;1849064
Bolivia;1964;200000;40000;237600;8600;6354859;1052;127649;909700;28375;0;126580;444994;275635;4753;21541;1750000;306963;155;15508;200000;6000;1943560
Bolivia;1965;277100;40000;243900;8800;6471479;1112;155176;1332000;28375;0;994309;360634;285308;5230;23078;1985000;315935;100;16005;200000;6000;99000
Bolivia;1966;268600;40200;251100;8900;70319;1290;144414;1286000;28375;0;916413;414851;308311;4842;22638;1900000;318513;230;5135;240000;6000;101000
Bolivia;1967;277700;40400;252900;8700;73515;1184;150206;1340400;28375;0;879810;496887;301681;5825;2372976;2250000;313804;165;5353;260000;6000;104000
Bolivia;1968;287500;40200;261200;7942;7711599;1393;140000;1704000;28375;0;870037;284507;346384;6649;22389;2300000;3;200;559;300000;6300;106000
Bolivia;1969;290300;38228;262700;8928;18000;1249;140000;1732165;28375;0;822336;421414;332633;5346;22873;2350000;5;200;5825;350000;6300;121000
Bolivia;1970;285700;26819;264150;9054;20500;292491;135000;1544000;22940;0;789820;381038;347519;7784;28628;2400000;7;20264;6073;400000;6300;125000
Bolivia;1971;296600;41810;265100;9739;20400;299622;135000;1241000;22940;0;688947;368859;324680;4906;2770058;2600000;11;20536;637;450000;6600;129000
Bolivia;1972;268500;65102;266100;9778;20300;310935;130000;1179594;22940;0;768651;356697;333735;4120;2604419;2629024;10;220;672;500000;6600;133000
Bolivia;1973;275825;41000;267090;7085;33300;319394;130000;1064066;22900;0;686722;373663;300161;3500;30401;2644050;11;21654;70;550000;6600;137000
Bolivia;1974;276660;58630;287300;6097;40100;334861;140000;1338713;88434620;0;453688;403610;343902;3295;2676465;2922684;12;220;735;600000;7000;140000
Bolivia;1975;305000;51678;288500;8667;46013;348941;140000;1422000;67835096;0;618752;381638;285229;2254;26578;2955472;10;220;777;650000;7300;149000
Bolivia;1976;338170;60920;289540;8290;36855;343375;110000;1473000;63227830;0;634246;328344;286182;3499;2653499;2530462;10;225;819;670000;7300;95000
Bolivia;1977;304715;62648;294300;8092;29618;360596;95530;1282000;68542650;0;690048;344689;309739;1154;264374;2842135;10;100;868;700763;7300;118500
Bolivia;1978;337370;61256;88737;7493;30801;370616;110000;1367400;79350390;0;671284;317809;314169;1805;40000;2478780;10;100;938;758727;7500;120300
Bolivia;1979;378045;64532;90315;7756;37669;371620;115000;1269000;67742340;0;530058;350499;346709;2466;40000;2383095;10;800;994;740030;7500;125300
Bolivia;1980;383365;67947;91921;8007;31929;355526;150000;1420000;79660040;0;561426;382727;375446;879;40000;2828021;10;300;1113;611260;8500;130000
Bolivia;1981;503710;68311;96748;7987;39655;389965;150000;1176069;70708480;0;641360;391494;363143;1023;40000;27146905;10;200;1267;611914;8500;150000
Bolivia;1982;449605;70911;93000;8094;30738;403967;150000;1465239;70561670;0;629890;423950;489848;1023;40000;2434664;10;26818;1421;636535;10000;175000
Bolivia;1983;337190;70846;90000;8583;40700;397078;197314;1765000;110525010;0;485770;300884;425616;1686;60000;25811082;2;500;1554;719100;12000;210000
Bolivia;1984;496612;78432;87100;9034;33287;403915;9896809;1954141;81986090;0;570372;403151;505746;2134;72000;70000;3;1000;168;800000;15000;245000
Bolivia;1985;553938;83019;84290;9787;40722;398476;10682216;1477848;72971280;6210000;544447;468812;560221;1778;88000;84000;2;1700;182;850000;15618;298400
Bolivia;1986;457300;91415;85320;4196;46333;450956;11467622;1945960;75171980;6510000;583378;426793;526057;1778;100000;85000;2;1000;196;900000;1653899;345000
Bolivia;1987;480694;64620;84860;6423;36632;444223;12253028;1743000;77697570;6910000;750555;417703;585766;3381;112000;100000;2;1000;203;950000;1743077;365000
Bolivia;1988;445570;41454;84900;5628;45942;449297;13038436;1551537;75504300;7870000;709796;439331;621452;22896;128000;100000;2;1000;210;980000;18000;410000
Bolivia;1989;400444;67377;85940;665566;44021;423072;13694975;1927854;79163870;6140000;619727;491489;708647;2338;148000;98000;2;1000;224;985990;1829871;425000
Bolivia;1990;390952;38674;86990;7980;56030;446594;13262153;1803000;85085850;8270000;546581;315727;695175;3023;152000;90000;2;1000;238;800000;19000;515000
Bolivia;1991;429713;146633;88050;8060;29307;440261;147691;1186768;94037070;8270000;495923;357677;666716;859;156000;100000;2;34850;252;729514;1946026;580000
Bolivia;1992;503481;882979;89123;22751;41182;448532;178272;1791721;100181210;8040000;533542;553456;801326;713;156000;95000;2;33230;259;622924;199677;630000
Bolivia;1993;537025;892962;90229;4894;57070;475899;174226;1955641;85474490;7630000;707564;432740;6746761;254;164000;85000;2;38036;2702;626330;20319;660000
Bolivia;1994;493533;2412107;91334;863472;4616623;520358;175111;2298000;87418610;8710000;736115;497604;6457756;1508;160000;104000;2;41223;252;631766;19056;700000
Bolivia;1995;515439;150000;95196;880653;43918;499101;181976;2313000;95440700;8610000;484045;566237;6136807;825;168000;101000;1;25000;245;692886;20032;780000
Bolivia;1996;498414;120000;97709;370;43700;506431;185900;2322655;90581336;6450000;318691;357079;54506794;86233;172000;115000;1;27990;20347;743466;22819;830000
Bolivia;1997;355718;2383000;100406;787;49635;539235;190071;2423241;96531270;8370000;513876;497183;569387;106511;160000;104000;2;25908;14932;797739;22802;840000
Bolivia;1998;479601;2039000;100587;1000;52892;543566;206447;2492000;84583790;7470000;512262;648741;5955614;91748;164000;123000;2;27266;16473;929950;21732;810000
Bolivia;1999;488606;2622000;10123101;1548;0;583646;221342;2698113;84858560;7240000;319871;319388;7971551;94831;180000;117000;5;25823;17097;969967;22826;850000
Bolivia;2000;653271;2760000;107065;1518;0;40;211037;2610000;87324320;6640000;291633;463247;6450357;2970000;188000;91000;4;37924;18975;1024004;25129;950000
Bolivia;2001;677829;2500000;109273;1518;0;50;235728;3149400;91086100;7260000;264340;478347;76612944;3900000;184000;104000;8;32470;17744;1078041;25958;845000
Bolivia;2002;672772;2376000;112168;900;0;60;266078;2494200;97068264;7570000;136886;566359;80708825;3100000;240000;125700;15;36093;18609;1223233;26815;975000
Bolivia;2003;691643;2457000;115141;400;0;100;288970;2420000;96014170;7460000;118398;397532;86310144;3350000;240000;110000;20;35900;2239;1333851;27700;1175000
Bolivia;2004;538091;3251000;11104245;270;0;130;307955;2750000;94693020;7940000;130780;600371;5767561;3350000;223000;148000;15;38300;29448;1394675;28614;805000
Bolivia;2005;738352;2503000;2000;359;0;60;327126;2850000;80776170;9325000;125898;627273;8433732;2400000;213000;186000;10;30909;22766;1471007;3007661;1135000
Bolivia;2006;894436;3814000;2000;400;0;70;348618;61000;58915852;9030000;133190;450214;8163279;2400000;203000;247100;5;33100;22297;1600231;31713;1150000
Bolivia;2007;770365;2732000;2100;400;0;110;363204;66000;56714816;9760000;149960;573179;6694787;2100000;180000;294000;65;34474;22022;1067636;33000;1250000
Bolivia;2008;1001803;1927000;2150;400;0;100;391905;66000;45690110;9695000;154854;375459;46734188;2000000;184628;361410;662;36960;20619;1082800;3394495;1300000
Bolivia;2009;1174447;1050000;2200;400;0;130;440012;66000;54679660;10500000;139821;386050;60735144;2300000;192000;441590;678;35916;22213;1187547;3480944;1300000
Bolivia;2010;1018988;635000;2250;381;0;100;39837366;66000;52507820;11614000;167604;298722;4931119;2200000;200000;641000;3;28481;21074;1112661;352527;1350000
Bolivia;2011;9180912;1080000;2300;5619;0;130;41009688;66000;43897890;12184000;163233;353060;5814263;2000000;211948;792247;0;31920;2035;11276694;3579993;1400000
Bolivia;2012;10430585;1100000;2350;57453;0;203;41616084;70000;44875456;11645000;213103;231745;50155094;2100000;220822;874245;14;34921;2035;11426258;3645999;1504101
Bolivia;2013;9151498;1000000;2400;58716;0;372;40821047;70000;46969372;10228000;324423;251205;4406279;2100000;202000;858525;0;42826;2035;1127652;3583754;1330617
Bolivia;2014;1006622;1000000;2450;59751;0;453;4114894;73000;42708104;11000000;314889;232314;43458947;2100000;205000;915900;0;42596;2035;1132649;3603249;1624242
Bolivia;2015;1056557;538000;2500;55754;0;473;6500;70000;45461496;9713000;256614;151319;4089139;2200000;207000;1125100;12;34506;27123;4000;3611001;1588347
Bolivia;2016;984628;1717000;2550;400;0;595;7500;70000;31808326;10304000;199298;186529;37910378;2000000;210000;1354800;37;36231;3592;4000;3599335;16074146
Bolivia;2017;9549089;1490000;2600;56159;0;555;6500;65000;34731350;15307000;207871;132651;39785362;2200000;213000;1522100;35;43102;909;4000;0;17162531
Bolivia;2018;12609258;1949000;2650;57852;0;676;7000;70000;21015726;15999000;234550;164866;40309938;2300000;217000;1741700;33;41481;789;6000;0;17218932
Bolivia;2019;987503;2039000;2730;59569;0;10;6500;70000;20906636;13502000;315363;127182;3703783;2300000;220000;1883100;32;48668;944;7272;0;17103191
Bolivia;2020;954833;1260000;3180;61318;0;10;6000;80000;21165606;13224000;608119;227815;34022466;2200000;223000;2032800;3;43157;106286;5737;0;17075571
Bolivia;2021;12247196;1812000;3810;63108;0;10;6937;100000;23687936;14731500;564675;261690;32177716;2000000;225000;2358200;3;48860;1208;6470;35000;17214162
Brazil;1961;9036237;359320;28920;1869576;130;8000;5057862;62965;90200930;80000;6108809;29681;2843121;1266000;4000;8000;85203;1111;60970;15230706;950;4281288
Brazil;1962;9587285;260000;2750694;1856433;13224;8000;5278363;69253;90831460;101000;591965;28158;2717002;1350000;4000;8500;277082;859;61926;16454542;800;4356534
Brazil;1963;10418267;334200;2695831;2138649;1338;6985;5576501;70000;95444790;108500;58039594;47841;2893887;1267000;4100;9000;265199;671;67165;1772115;750;4516879
Brazil;1964;9408043;334443;28196;2840283;13741;1239;6070124;78006;94054216;131900;589724;122904;3164853;1374928;4200;9500;270130;762;65932;1728277;1200;4331922
Brazil;1965;12111921;33997438;28584;2844101;13997;1212;635577;81614;95696904;100700;5829111;181209;3592669;1522950;4300;10000;186705;803;63703;1734025;1400;4557334
Brazil;1966;11371455;36229444;2673437;3411663;13706;1220;75662375;54303;94286600;104600;57609844;123711;3782143;1525476;4200;11000;221350;936;17051;1848516;1100;6568460
Brazil;1967;12824380;392701;2518071;2512026;13815;1290;7192555;119872;92481780;97200;24878374;145687;4204509;14518222;4500;12000;285164;1097;19552;1905530;1100;9077685
Brazil;1968;12813638;420800;290479;2845276;1384;1365;72453325;82098;100770600;114000;23292244;204891;4576430;1449050;4600;14000;198909;1353;2212;1727086;1000;11137489
Brazil;1969;12693435;437937;3017309;2343989;13787;1700;5761617;61789;115108856;168900;19055884;302665;4728084;1467131;4700;15000;257000;1483;24552;16772332;1030;14017142
Brazil;1970;14216009;350359;32880;2843742;13814;1695;70778806;84960;117170610;75100;20522116;376441;4131503;23100;4700;16416;138937;1689;27048;14545125;1030;17060496
Brazil;1971;14129749;310355;3141849;3249234;726456;1875;6798027;90019;115301260;102900;24159606;4419965;4343063;23600;4800;16615;145576;1701;29552;12434109;1030;17227752
Brazil;1972;14891444;332801;3233826;4440721;792524;2175;823681;130576;117099510;130800;20688160;3395733;4799949;24000;4800;17790;194968;2080;32048;13711756;1030;19490500
Brazil;1973;14185877;331782;3027674;3533546;704011;1808;8993475;99489;110984450;145600;20359644;20000;5095225;24700;4900;18025;167786;2019;33895;16261429;1093;20809846
Brazil;1974;16273227;387335;3153908;4596595;693625;2408;88534294;94075;113290060;154500;22226662;20000;50411585;25400;5000;20800;279219;2398;27561;1670154;1160;20437064
Brazil;1975;16334516;518050;208700;5268715;774957;2581;9768776;110566;117807140;89000;19018004;32296;4922823;26100;5200;21200;311000;2401;3442;16659171;1050;20022748
Brazil;1976;17751072;680034;209700;4822755;750611;2464;1101967;115880;109664110;98800;17790628;38877;5182627;27200;5000;15360;307331;2572;19068;17074255;1114;19250634
Brazil;1977;19255936;661760;237200;4461459;714985;2817;11197599;110790;111221400;122400;20225044;23000;5344568;28000;5000;11715;380000;2283;39361;18456232;960;21105160
Brazil;1978;13569401;641068;240400;3715701;701251;2988;903239;106560;10000;94163;17705788;17000;5411064;29000;5000;15950;301127;3315;3792;18956712;910;23681966
Brazil;1979;16306380;697120;246850;4419664;726092;3179;81987394;120020;10000;104181;18874048;12000;5455321;30000;5000;17572;182001;3008;416;19692862;967;24016880
Brazil;1980;20372080;838319;251800;3963717;684741;2976;70741194;124360;13000;166974;22492364;12700;5396161;31500;5000;20766;140027;2856;480;19742992;1059;26064930
Brazil;1981;21116912;800580;256600;40842038;721133;2347;7758159;0;15000;128210;15177492;24640;55257665;33100;5370;20768;154081;2949;560;19772824;869;27865888
Brazil;1982;21842480;922522;260855;3643983;816295;2602;71190425;26689;17000;115400;20295214;25588;50284805;33000;4704;18171;230000;3174;640;20151108;980;29850772
Brazil;1983;18731216;882144;267460;3607559;800511;2112;52982325;30589;19000;177400;14758348;30629;51597885;33000;4900;15913;187000;3425;720;2010284;867;31684432
Brazil;1984;21164144;944040;274833;4177774;892505;2031;5022314;32180;21000;232140;20545096;38000;48518095;29000;4800;20035;170849;4736;760;20179765;829;33265186
